#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut
1,equative_sing,Je suis enseignant,n yé karamɔgɔ yé,n yé kàramɔgɔkɛ yé,FAIL
2,equative_sing,il est professeur,a yé porofesɛri yé,a yé porofesɛri yé,PASS
3,equative_sing,Musa est un chasseur,Musa yé donso yé,Musa yé dònso yé,FAIL
4,equative_sing,je suis étudiant,n yé kalandenba yé,n ka fárin,FAIL
5,equative_sing,tu es mon ami,i yé n terikɛ yé,i yé n fìlaninteri yé,FAIL
6,equative_sing,elle est médecin,a yé dɔkɔtɔrɔ yé,a tíminandilen dòn,FAIL
7,equative_plur,nous sommes des paysans,anw yé dugukɔlɔsibagaw yé,anw yé wúlakɔnɔmɔgɔ yé,FAIL
8,equative_plur,Ils sont étudiants,ùw yé kalandenw yé,u yé kàlandenba yé,FAIL
9,equative_plur,vous êtes des enseignants,aw yé karamɔgɔw yé,aw yé kàramɔgɔkɛ yé,FAIL
10,equative_neg,il n'est pas professeur,a tɛ porofesɛri yé,a tɛ porofesɛri yé,PASS
11,equative_neg,il n'est pas un professeur,a tɛ porofesɛri yé,a tɛ porofesɛri yé,PASS
12,equative_neg,il n'est pas un étudiant,a tɛ kàlandenba yé,a tɛ kàlandenba yé,PASS
13,equative_neg,je ne suis pas enseignant,n tɛ karamɔgɔ yé,n tɛ kàramɔgɔkɛ yé,FAIL
14,equative_neg_nothing,Il n'est rien,a tɛ foyi yé,a tɛ foyi yé,PASS
15,equative_neg,ce n'est pas vrai,o tɛ tiɲɛ yé,bɛ́rɛ tɛ,FAIL
16,equative_past,il était professeur,a tùn yé porofesɛri yé,a tùn yé porofesɛri yé,PASS
17,equative_past,j'étais étudiant,n tùn yé kalandenba yé,n tùn yé kàlandenba yé,FAIL
18,equative_past_neg,il n'était pas étudiant,a tùn tɛ kalandenba yé,a tùn ma kègun,FAIL
19,locative,Je suis en route,n bɛ sìra la,n bɛ síraden la,FAIL
20,locative,Musa est au village,Musa bɛ dugu kɔnɔ,Musa bɛ dɔ́gɔdugu la,FAIL
21,locative_plur,Les enfants sont en route,dɔgɔw bɛ sìra la,dén bɛ síraden la,FAIL
22,locative_plur,Ils sont aux portes,u bɛ bóndaw la,u bɛ bóndaw la,PASS
23,locative,je suis à la maison,n bɛ so la,n bɛ fàdu la,FAIL
24,locative_plur,nous sommes au marché,anw bɛ súgu la,anw bɛ gárabali la,FAIL
25,locative,il est au champ,a bɛ foro la,a bɛ fòro la,FAIL
26,locative,elle est à l'école,a bɛ lakɔli la,a bɛ kàlankɛyɔrɔ la,FAIL
27,locative_neg,il n'est pas à la maison,a tɛ so la,a tɛ fàdu la,FAIL
28,locative_neg,je ne suis pas au marché,n tɛ súgu la,n tɛ gárabali la,FAIL
29,qualitative,je suis belle,n ka ɲuman,n ka bólolango,FAIL
30,qualitative,le cheval est rapide,sòn ka téliman,jùbe ka téli,FAIL
31,qualitative,La maison est loin,so ka jàn,fàdu ka póroo,FAIL
32,qualitative_plur,Les maisons sont loin,sow ka jàn,fàduw ka póroo,FAIL
33,qualitative,l'eau est chaude,jí ka bɛ̀lɛ,dùn ka gòni,FAIL
34,qualitative,la route est longue,sìra ka télé,síraden ka búlubulu,FAIL
35,qualitative_neg,tu n'es pas bien,i mán ɲuman,i man gójogojo,FAIL
36,qualitative_neg,la maison n'est pas grande,so mán bàrika,fàdu man bòn,FAIL
37,qualitative_past,la route était longue,sìra tùn ka télé,síraden tùn ka búlubulu,FAIL
38,qualitative_past_neg,il n'était pas bien,a tùn mán ɲuman,a tùn ma gójogojo,FAIL
39,statif,je suis sûre de ça,n lalen dòn à la,n [sûr]len dòn o o in la,FAIL
40,statif_plur,Les maisons sont sûres,sow lalen dòn,fàduw [sûr]len dòn,FAIL
41,past_intransitive,C'est cuit,o mɔnna,o jàlanna,FAIL
42,past_intransitive_plur,Les viandes sont cuites,sɔgɔw mɔnna,lɛ̀sogow bàsabasara,FAIL
43,past_intransitive,il est parti,o fáɲira,a fáɲira,FAIL
44,past_intransitive,elle est tombée,a bɛnna,a wɔ̀lɔwɔlɔra,FAIL
45,past_intransitive_plur,ils sont arrivés,ùw sera,u séra,FAIL
46,past_transitive,Musa a mangé le riz,Musa yé màlo dún,Musa yé díga dún,FAIL
47,past_transitive,J'ai acheté des pagnes,n yé fìníw sàn,n yé kɔ̀baw sàn,FAIL
48,past_transitive,tu as vu l'homme,i yé cɛ yé,i yé mɔ̀gɔ fɔ,FAIL
49,past_transitive,elle a bu de l'eau,a yé jí mìn,a yé dùn dolo mìn,FAIL
50,past_transitive_plur,nous avons mangé le riz,anw yé màlo dún,anw yé díga dún,FAIL
51,past_transitive_plur,ils ont construit la maison,ùw yé so lá,u yé fàdu lájànya,FAIL
52,relative_topic,L'homme que tu as vu hier est parti,"i yé cɛ mìn yé kúnùn, o fáɲira","i mɔ̀gɔ mìn bàasira kúnùn, o fáɲira",FAIL
53,noun_phrase_have_material,J'ai de l'argent,wárí bɛ n bóló,n yé wári yé,FAIL
54,noun_phrase_have_material,il a une voiture,[voiture] bɛ a bóló,a yé wátiri yé,FAIL
55,noun_phrase_have_material_plur,Ils ont des voitures,móbiliw bɛ ùw bóló,u yé wátiriw yé,FAIL
