#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut
1,equative_sing,Je suis enseignant,n yé karamɔgɔ yé,,
2,equative_sing,il est professeur,a yé porofesɛri yé,,
3,equative_sing,Musa est un chasseur,Musa yé donso yé,,
4,equative_sing,je suis étudiant,n yé kalandenba yé,,
5,equative_sing,tu es mon ami,i yé n terikɛ yé,,
6,equative_sing,elle est médecin,a yé dɔkɔtɔrɔ yé,,
7,equative_plur,nous sommes des paysans,anw yé dugukɔlɔsibagaw yé,,
8,equative_plur,Ils sont étudiants,ùw yé kalandenw yé,,
9,equative_plur,vous êtes des enseignants,aw yé karamɔgɔw yé,,
10,equative_neg,il n'est pas professeur,a tɛ porofesɛri yé,,
11,equative_neg,il n'est pas un professeur,a tɛ porofesɛri yé,,
12,equative_neg,il n'est pas un étudiant,a tɛ kàlandenba yé,,
13,equative_neg,je ne suis pas enseignant,n tɛ karamɔgɔ yé,,
14,equative_neg_nothing,Il n'est rien,a tɛ foyi yé,,
15,equative_neg,ce n'est pas vrai,o tɛ tiɲɛ yé,,
16,equative_past,il était professeur,a tùn yé porofesɛri yé,,
17,equative_past,j'étais étudiant,n tùn yé kalandenba yé,,
18,equative_past_neg,il n'était pas étudiant,a tùn tɛ kalandenba yé,,
19,locative,Je suis en route,n bɛ sìra la,,
20,locative,Musa est au village,Musa bɛ dugu kɔnɔ,,
21,locative_plur,Les enfants sont en route,dɔgɔw bɛ sìra la,,
22,locative_plur,Ils sont aux portes,u bɛ bóndaw la,,
23,locative,je suis à la maison,n bɛ so la,,
24,locative_plur,nous sommes au marché,anw bɛ súgu la,,
25,locative,il est au champ,a bɛ foro la,,
26,locative,elle est à l'école,a bɛ lakɔli la,,
27,locative_neg,il n'est pas à la maison,a tɛ so la,,
28,locative_neg,je ne suis pas au marché,n tɛ súgu la,,
29,qualitative,je suis belle,n ka ɲuman,,
30,qualitative,le cheval est rapide,sòn ka téliman,,
31,qualitative,La maison est loin,so ka jàn,,
32,qualitative_plur,Les maisons sont loin,sow ka jàn,,
33,qualitative,l'eau est chaude,jí ka bɛ̀lɛ,,
34,qualitative,la route est longue,sìra ka télé,,
35,qualitative_neg,tu n'es pas bien,i mán ɲuman,,
36,qualitative_neg,la maison n'est pas grande,so mán bàrika,,
37,qualitative_past,la route était longue,sìra tùn ka télé,,
38,qualitative_past_neg,il n'était pas bien,a tùn mán ɲuman,,
39,statif,je suis sûre de ça,n lalen dòn à la,,
40,statif_plur,Les maisons sont sûres,sow lalen dòn,,
41,past_intransitive,C'est cuit,o mɔnna,,
42,past_intransitive_plur,Les viandes sont cuites,sɔgɔw mɔnna,,
43,past_intransitive,il est parti,o fáɲira,,
44,past_intransitive,elle est tombée,a bɛnna,,
45,past_intransitive_plur,ils sont arrivés,ùw sera,,
46,past_transitive,Musa a mangé le riz,Musa yé màlo dún,,
47,past_transitive,J'ai acheté des pagnes,n yé fìníw sàn,,
48,past_transitive,tu as vu l'homme,i yé cɛ yé,,
49,past_transitive,elle a bu de l'eau,a yé jí mìn,,
50,past_transitive_plur,nous avons mangé le riz,anw yé màlo dún,,
51,past_transitive_plur,ils ont construit la maison,ùw yé so lá,,
